teamId,competition,n_events,n_passes,n_shots,n_duels,pass_accuracy,shot_accuracy,duel_win_rate,avg_pos_x,avg_pos,std_pos_x,std_pos,pass_def_third,pass_mid_third,pass_att_third,cross_ratio,simple_pass_ratio,smart_pass_ratio,high_pass_ratio,long_ball_ratio,counter_rate,dangerous_rate,n_nodes,n_edges,density,clustering_coef,weighted_clustering,centralization,top_player_share,avg_shortest_path,diameter,reciprocity,win_rate_profiles,draw,loss,points_per_match_profiles,goalDiff_profiles,goalsFor,goalsAgainst,name_x,win_rate,points_per_match,goalDiff,fingerprint,embed_x,embed,name
674,Spain,810.2105263157895,413.7894736842105,11.0,224.6315789473684,0.8354425695251233,0.39143374131255015,0.3945631789025752,48.02645957982711,50.795904108386324,24.93814400728817,29.554536449470895,0.29611628583875266,0.47595833224338907,0.22792538191785824,0.03802408817233356,0.7928116174676817,0.02068242044850784,0.07425922290081144,0.02121626838298123,0.023128715742697342,0.0015188382769470894,13.68421052631579,103.13157894736842,0.5959413393623919,0.8218093710104988,0.17716709857063168,0.5804305343779028,0.2101312668999916,1.4249303328250698,2.0789473684210527,0.7969533020127393,0.5789473684210527,0.18421052631578946,0.23684210526315788,1.9210526315789473,0.7105263157894737,1.7105263157894737,1.0,Valencia,0.5789473684210527,1.9210526315789473,0.7105263157894737,0,7.3685875,6.113252,Valencia
675,Spain,947.5,581.078947368421,16.605263157894736,206.8421052631579,0.8791845012434958,0.42192081175210056,0.4273080807037343,52.20279652482214,48.55818845655623,24.37373061153746,30.09799159781193,0.24417542774236822,0.4658064978755382,0.2900180743820936,0.04347542132052014,0.8309532383161656,0.02012897769699278,0.06428573528264629,0.006689183414828072,0.017887448229126652,0.0014736893216685549,13.710526315789474,122.86842105263158,0.7058511663774821,0.8669841019465079,0.183804505339057,0.4641411220358589,0.22543072308147596,1.2987275882012723,2.0526315789473686,0.8698542047655797,0.5789473684210527,0.2631578947368421,0.15789473684210525,2.0,1.3157894736842106,2.473684210526316,1.1578947368421053,Real Madrid,0.5789473684210527,2.0,1.3157894736842106,1,9.680804,8.118134,Real Madrid
676,Spain,968.1578947368421,612.1052631578947,13.210526315789474,202.78947368421052,0.8834618091565499,0.48512815918714564,0.4286788213693256,51.20628918565202,49.88660147057761,23.699646958240884,28.995692680052336,0.24876869777127647,0.47974119695430706,0.27149010527441647,0.01895423996816048,0.8556655282322317,0.02341584405887311,0.059023425186863335,0.008553610843226452,0.014850928170988454,0.0017116828029933937,13.868421052631579,122.71052631578948,0.6869424435213909,0.8658291548329141,0.16263762113851402,0.4661040713672293,0.22714067973936394,1.3192224442224443,2.0,0.8514219170719708,0.7368421052631579,0.23684210526315788,0.02631578947368421,2.4473684210526314,1.8421052631578947,2.6052631578947367,0.7631578947368421,Barcelona,0.7368421052631579,2.4473684210526314,1.8421052631578947,1,9.879944,7.8321486,Barcelona
677,Spain,797.8157894736842,382.60526315789474,10.657894736842104,221.42105263157896,0.7993229828660458,0.3334005176110439,0.3863563482057958,48.62215876693643,49.31324720226188,26.050474229029536,31.765631697392607,0.302544558751401,0.45500602644253124,0.24244941480606777,0.05008085291456974,0.7328102621716813,0.022242031226375105,0.08480310531187896,0.029732443606870818,0.014382817706001413,0.00167511837908213,13.710526315789474,105.42105263157895,0.6061570008938431,0.8402164860341552,0.1944838771459982,0.526291690765375,0.20126612179243758,1.376178645915488,2.0789473684210527,0.7809941547762584,0.15789473684210525,0.2894736842105263,0.5526315789473685,0.7631578947368421,-1.0,1.0,2.0,Deportivo La Coru\u00f1a,0.15789473684210525,0.7631578947368421,-1.0,3,5.140182,4.4888883,Deportivo La Coru\u00f1a
678,Spain,803.8421052631579,395.3157894736842,9.921052631578947,229.6315789473684,0.7990267158676663,0.37953224750825365,0.39352148688827565,49.71247647979959,51.70866629764379,24.861832911914522,30.59849256409644,0.2812701186216521,0.48263697309056824,0.23609290828777968,0.04832074881057097,0.7182675146608142,0.021581156885233845,0.08852648425029215,0.04019556564438463,0.012228028803711353,0.0017357752562474002,13.631578947368421,108.5,0.6316862961599804,0.8571692074981548,0.1860590738339262,0.5032357992884309,0.21898797894910332,1.387664966612335,2.210526315789474,0.7993502807336249,0.2631578947368421,0.34210526315789475,0.39473684210526316,1.131578947368421,-0.21052631578947367,1.0789473684210527,1.2894736842105263,Athletic Club,0.2631578947368421,1.131578947368421,-0.21052631578947367,0,5.2775126,5.26487,Athletic Club
679,Spain,837.421052631579,429.89473684210526,9.31578947368421,234.8421052631579,0.8251123193427524,0.40074811024888424,0.3925457693000563,48.736616682525884,49.1994195812734,24.635508604214493,30.481794947349147,0.27981795889919575,0.4871285266462091,0.23305351445459518,0.02942716060302988,0.7807462145626083,0.021024226678247153,0.08017086723840788,0.026276010214435607,0.020129567100035245,0.0010155011815460113,13.789473684210526,106.47368421052632,0.6047242231452759,0.8299787392362581,0.18004642445044802,0.5614385614385614,0.2034032100378254,1.3354627828312038,2.0526315789473686,0.7976485158329516,0.6052631578947368,0.2631578947368421,0.13157894736842105,2.0789473684210527,0.9473684210526315,1.5263157894736843,0.5789473684210527,Atl\u00e9tico Madrid,0.6052631578947368,2.0789473684210527,0.9473684210526315,0,7.227359,6.340141,Atl\u00e9tico Madrid
680,Spain,884.3684210526316,474.39473684210526,12.342105263157896,233.3684210526316,0.8388605893782273,0.4017872437211478,0.4016846057206227,49.127122677329204,47.73563210698078,24.98637241725756,30.38987435245725,0.29099944851407455,0.47135985913066775,0.23764069235525778,0.034983926983622605,0.7903148139568265,0.02308169721165586,0.07087933270071527,0.01809504113381312,0.015132527453394,0.0007570805296950723,13.789473684210526,112.23684210526316,0.6380111116953223,0.8474249539099162,0.16526931843315282,0.5397059081269608,0.20804423560232396,1.3771557389978444,2.1315789473684212,0.8169831663162889,0.4473684210526316,0.18421052631578946,0.3684210526315789,1.5263157894736843,-0.23684210526315788,1.2894736842105263,1.5263157894736843,Sevilla,0.4473684210526316,1.5263157894736843,-0.23684210526315788,0,7.982035,7.070686,Sevilla
682,Spain,851.4736842105264,435.5263157894737,11.447368421052632,224.18421052631578,0.8391281212296651,0.36363236909289537,0.3735549135034576,47.24981443175091,51.42212495612461,24.69911592736107,30.113005223900107,0.3162693799336379,0.4862278736109375,0.19750274645542462,0.03129619748838902,0.7827469662911275,0.02406837435639129,0.08013481699555162,0.020111953163567,0.018883801373734157,0.0013693925086091952,13.789473684210526,107.71052631578948,0.6117216117216117,0.8296300399683858,0.1713858224660739,0.5780075187969925,0.22591002442976124,1.4099672257566993,2.1578947368421053,0.798186218688356,0.47368421052631576,0.18421052631578946,0.34210526315789475,1.605263157894737,0.18421052631578946,1.5,1.3157894736842106,Villarreal,0.47368421052631576,1.605263157894737,0.18421052631578946,0,7.583767,6.1022606,Villarreal
683,Spain,770.578947368421,351.05263157894734,9.052631578947368,237.26315789473685,0.7933613003573146,0.31441628546891703,0.3615168493765783,48.43070837300311,48.81486106204289,25.3986241069164,31.60491062981701,0.31974789347435933,0.45915626724738084,0.22109583927825985,0.04732330805282,0.7038038178818249,0.01631454898038958,0.10320075417354178,0.037897273156671026,0.012076316631413743,0.001168851548933906,13.868421052631579,102.60526315789474,0.576002944423997,0.8097208521080702,0.18931488116949194,0.5525549012391118,0.19569822485377325,1.4096955675903045,2.0789473684210527,0.7558892070676217,0.13157894736842105,0.13157894736842105,0.7368421052631579,0.5263157894736842,-0.9736842105263158,0.631578947368421,1.605263157894737,M\u00e1laga,0.13157894736842105,0.5263157894736842,-0.9736842105263158,3,4.8409634,3.625454,M\u00e1laga
684,Spain,889.2894736842105,509.0,9.447368421052632,208.39473684210526,0.8618821546744531,0.4121149146690943,0.3914408055920492,46.57337233473596,51.32996386987296,24.068513223564135,29.779768098818792,0.30903486598819374,0.4928972854101533,0.19806784860165286,0.025758979489808573,0.8220360547707503,0.01694449204160925,0.061357466883236005,0.021686870541220513,0.011525789286590567,0.0020018084890773002,13.789473684210526,112.63157894736842,0.6398448043184886,0.8536770647202978,0.16672415688509648,0.543997668997669,0.21377652196731142,1.3353094274146906,2.0526315789473686,0.8294747859122775,0.47368421052631576,0.15789473684210525,0.3684210526315789,1.5789473684210527,-0.02631578947368421,1.5789473684210527,1.605263157894737,Real Betis,0.47368421052631576,1.5789473684210527,-0.02631578947368421,4,8.6311865,5.9339585,Real Betis
